Enrollment Month,Plan Type,County,Plan Name,Count of Enrollees,Count of Enrollees Annotation Code,Count of Enrollees Annotation Description
2007-02,COHS,Santa Barbara,Santa Barbara Hlth Authrty,54163,None,None
2007-02,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,30654,None,None
2007-02,COHS,Solano,Partnership HP of CA/Solano,51787,None,None
2007-02,COHS,Yolo,Partnership HealthPlan of CA/Yolo,23562,None,None
2007-02,Dental,Los Angeles,Access Dental Plan/LA,61129,None,None
2007-02,Dental,Los Angeles,American Health Guard - Dental/LA,16152,None,None
2007-02,Dental,Los Angeles,Care1st Health Plan Dental,15985,None,None
2007-02,Dental,Los Angeles,Community Dental Svcs Inc (LA),5210,None,None
2007-02,Dental,Los Angeles,Health Net of California,30564,None,None
2007-02,Dental,Los Angeles,Liberty Dental Plan of CA (LA),5790,None,None
2007-02,Dental,Los Angeles,Safeguard Dental Inc.,28548,None,None
2007-02,Dental,Los Angeles,Western Dental Svcs/LA,53136,None,None
2007-02,Dental,Riverside,Safeguard Dental Inc.,126,None,None
2007-02,Dental,Riverside,Western Dental Svcs (Riverside),256,None,None
2007-02,Dental,Sacramento,Access Dental Plan/Sacto,50779,None,None
2007-02,Dental,Sacramento,Community Dental Svcs./Sacto,13169,None,None
2007-02,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,25090,None,None
2007-02,Dental,Sacramento,Western Dental Svcs/Sacto,73949,None,None
2007-02,Dental,San Bernardino,Care1st Health Plan Dental,204,None,None
2007-02,Dental,San Bernardino,Safeguard Dental Inc.,764,None,None
2007-02,Dental,San Bernardino,Western Dental Svcs (San Bernardino),551,None,None
2007-02,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,81991,None,None
2007-02,Geographic Managed Care,Sacramento,Care 1st Healthplan,4342,None,None
2007-02,Geographic Managed Care,Sacramento,Health Net/Sac,27661,None,None
2007-02,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,19727,None,None
2007-02,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,15885,None,None
2007-02,Geographic Managed Care,San Diego ,Blue Cross San Diego GMC,25874,None,None
2007-02,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),2755,None,None
2007-02,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,70000,None,None
2007-02,Geographic Managed Care,San Diego ,Health Net/San Diego,15610,None,None
2007-02,Geographic Managed Care,San Diego ,Kaiser/San Diego,9691,None,None
2007-02,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,44956,None,None
2007-02,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,12245,None,None
2007-02,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,83,None,None
2007-02,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,925,None,None
2007-02,Prepaid Health Plan,Marin,Kaiser/Marin,603,None,None
2007-02,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,1437,None,None
2007-02,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,805,None,None
2007-02,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,1614,None,None
2007-02,SCAN,Los Angeles,SCAN Hlth Plan / LA,2321,None,None
2007-02,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,512,None,None
2007-02,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,609,None,None
2007-02,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,244,None,None
2007-02,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,279,None,None
2007-02,Special Project,Alameda,Cntr Elders Indep/Alameda,367,None,None
2007-02,Special Project,Contra Costa,Center for Elders Independence,25,None,None
2007-02,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,395,None,None
2007-02,Special Project,Sacramento,Sutter SeniorCare/Sac,189,None,None
2007-02,Special Project,San Francisco,Family Mosaic Prj / SF,132,None,None
2007-02,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2007-02,Two-Plan,Alameda,Alameda Alliance for Hlth,72877,None,None
2007-02,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,27573,None,None
2007-02,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,10264,None,None
2007-02,Two-Plan,Contra Costa,Contra Costa Hlth Plan,43200,None,None
2007-02,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,143064,None,None
2007-02,Two-Plan,Fresno,Health Net /Fresno,26547,None,None
2007-02,Two-Plan,Kern,Health Net/Kern,21730,None,None
2007-02,Two-Plan,Kern,Kern Hlth Systems,92458,None,None
2007-02,Two-Plan,Los Angeles,Health Net / LA,437428,None,None
2007-02,Two-Plan,Los Angeles,LA CARE,736943,None,None
2007-02,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,120623,None,None
2007-02,Two-Plan,Riverside,Molina Healthcare of California/Riverside,33340,None,None
2007-02,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,132550,None,None
2007-02,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,50495,None,None
2007-02,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,12090,None,None
2007-02,Two-Plan,San Francisco,San Francisco Hlth Plan,31531,None,None
2007-02,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,27086,None,None
2007-02,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,56681,None,None
2007-02,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,32929,None,None
2007-02,Two-Plan,Santa Clara,Santa Clara Family Hlth,72582,None,None
2007-02,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,45266,None,None
2007-02,Two-Plan,Stanislaus,Health Net/Stanislaus,13414,None,None
2007-02,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,70276,None,None
2007-02,Two-Plan,Tulare,Health Net/Tulare,15413,None,None
2007-03,COHS,Monterey,Central California Alliance for Health/Monterey,54405,None,None
2007-03,COHS,Napa,Partnership HP of CA/Napa,10770,None,None
2007-03,COHS,Orange,CalOPTIMA / Orange,294687,None,None
2007-03,COHS,San Mateo,Hlth Plan of San Mateo,49777,None,None
2007-03,COHS,Santa Barbara,Santa Barbara Hlth Authrty,54100,None,None
2007-03,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,30774,None,None
2007-03,COHS,Solano,Partnership HP of CA/Solano,51895,None,None
2007-03,COHS,Yolo,Partnership HealthPlan of CA/Yolo,23590,None,None
2007-03,Dental,Los Angeles,Access Dental Plan/LA,60855,None,None
2007-03,Dental,Los Angeles,American Health Guard - Dental/LA,17305,None,None
2007-03,Dental,Los Angeles,Care1st Health Plan Dental,16058,None,None
2007-03,Dental,Los Angeles,Community Dental Svcs Inc (LA),5188,None,None
2007-03,Dental,Los Angeles,Health Net of California,30470,None,None
2007-03,Dental,Los Angeles,Liberty Dental Plan of CA (LA),5810,None,None
2007-03,Dental,Los Angeles,Safeguard Dental Inc.,28057,None,None
2007-03,Dental,Los Angeles,Western Dental Svcs/LA,52548,None,None
2007-03,Dental,Riverside,Safeguard Dental Inc.,125,None,None
2007-03,Dental,Riverside,Western Dental Svcs (Riverside),251,None,None
2007-03,Dental,Sacramento,Access Dental Plan/Sacto,50562,None,None
2007-03,Dental,Sacramento,Community Dental Svcs./Sacto,13050,None,None
2007-03,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,25049,None,None
2007-03,Dental,Sacramento,Western Dental Svcs/Sacto,73821,None,None
2007-03,Dental,San Bernardino,Care1st Health Plan Dental,202,None,None
2007-03,Dental,San Bernardino,Safeguard Dental Inc.,760,None,None
2007-03,Dental,San Bernardino,Western Dental Svcs (San Bernardino),547,None,None
2007-03,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,81684,None,None
2007-03,Geographic Managed Care,Sacramento,Care 1st Healthplan,4349,None,None
2007-03,Geographic Managed Care,Sacramento,Health Net/Sac,27463,None,None
2007-03,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,19757,None,None
2007-03,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,15776,None,None
2007-03,Geographic Managed Care,San Diego ,Blue Cross San Diego GMC,26035,None,None
2007-03,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),2795,None,None
2007-03,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,69566,None,None
2007-03,Geographic Managed Care,San Diego ,Health Net/San Diego,15548,None,None
2007-03,Geographic Managed Care,San Diego ,Kaiser/San Diego,9700,None,None
2007-03,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,44292,None,None
2007-03,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,12174,None,None
2007-03,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,85,None,None
2007-03,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,932,None,None
2007-03,Prepaid Health Plan,Marin,Kaiser/Marin,601,None,None
2007-03,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,1456,None,None
2007-03,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,818,None,None
2007-03,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,1633,None,None
2007-03,SCAN,Los Angeles,SCAN Hlth Plan / LA,2287,None,None
2007-03,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,511,None,None
2007-03,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,621,None,None
2007-03,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,250,None,None
2007-03,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,279,None,None
2007-03,Special Project,Alameda,Cntr Elders Indep/Alameda,367,None,None
2007-03,Special Project,Contra Costa,Center for Elders Independence,21,None,None
2007-03,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,396,None,None
2007-03,Special Project,Sacramento,Sutter SeniorCare/Sac,184,None,None
2007-03,Special Project,San Francisco,Family Mosaic Prj / SF,133,None,None
2007-03,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2007-03,Two-Plan,Alameda,Alameda Alliance for Hlth,72837,None,None
2007-03,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,27332,None,None
2007-03,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,10101,None,None
2007-03,Two-Plan,Contra Costa,Contra Costa Hlth Plan,43143,None,None
2007-03,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,141864,None,None
2007-03,Two-Plan,Fresno,Health Net /Fresno,26862,None,None
2007-03,Two-Plan,Kern,Health Net/Kern,21409,None,None
2007-03,Two-Plan,Kern,Kern Hlth Systems,91286,None,None
2007-03,Two-Plan,Los Angeles,Health Net / LA,432018,None,None
2007-03,Two-Plan,Los Angeles,LA CARE,733807,None,None
2007-03,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,120962,None,None
2007-03,Two-Plan,Riverside,Molina Healthcare of California/Riverside,33059,None,None
2007-03,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,132904,None,None
2007-03,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,49953,None,None
2007-03,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,12022,None,None
2007-03,Two-Plan,San Francisco,San Francisco Hlth Plan,31537,None,None
2007-03,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,26945,None,None
2007-03,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,56696,None,None
2007-03,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,32665,None,None
2007-03,Two-Plan,Santa Clara,Santa Clara Family Hlth,72727,None,None
2007-03,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,44909,None,None
2007-03,Two-Plan,Stanislaus,Health Net/Stanislaus,13383,None,None
2007-03,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,70793,None,None
2007-03,Two-Plan,Tulare,Health Net/Tulare,15355,None,None
2007-04,COHS,Monterey,Central California Alliance for Health/Monterey,54525,None,None
2007-04,COHS,Napa,Partnership HP of CA/Napa,10770,None,None
2007-04,COHS,Orange,CalOPTIMA / Orange,295224,None,None
2007-04,COHS,San Mateo,Hlth Plan of San Mateo,50091,None,None
2007-04,COHS,Santa Barbara,Santa Barbara Hlth Authrty,54346,None,None
2007-04,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,30913,None,None
2007-04,COHS,Solano,Partnership HP of CA/Solano,52116,None,None
2007-04,COHS,Yolo,Partnership HealthPlan of CA/Yolo,23916,None,None
2007-04,Dental,Los Angeles,Access Dental Plan/LA,60754,None,None
2007-04,Dental,Los Angeles,American Health Guard - Dental/LA,17859,None,None
2007-04,Dental,Los Angeles,Care1st Health Plan Dental,16415,None,None
2007-04,Dental,Los Angeles,Community Dental Svcs Inc (LA),5268,None,None
2007-04,Dental,Los Angeles,Health Net of California,30924,None,None
2007-04,Dental,Los Angeles,Liberty Dental Plan of CA (LA),5912,None,None
2007-04,Dental,Los Angeles,Safeguard Dental Inc.,27742,None,None
2007-04,Dental,Los Angeles,Western Dental Svcs/LA,52684,None,None
2007-04,Dental,Riverside,Safeguard Dental Inc.,122,None,None
2007-04,Dental,Riverside,Western Dental Svcs (Riverside),247,None,None
2007-04,Dental,Sacramento,Access Dental Plan/Sacto,50822,None,None
2007-04,Dental,Sacramento,Community Dental Svcs./Sacto,13023,None,None
2007-04,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,25266,None,None
2007-04,Dental,Sacramento,Western Dental Svcs/Sacto,73904,None,None
2007-04,Dental,San Bernardino,Care1st Health Plan Dental,196,None,None
2007-04,Dental,San Bernardino,Safeguard Dental Inc.,745,None,None
2007-04,Dental,San Bernardino,Western Dental Svcs (San Bernardino),525,None,None
2007-04,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,82063,None,None
2007-04,Geographic Managed Care,Sacramento,Care 1st Healthplan,4441,None,None
2007-04,Geographic Managed Care,Sacramento,Health Net/Sac,27322,None,None
2007-04,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,19942,None,None
2007-04,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,15680,None,None
2007-04,Geographic Managed Care,San Diego ,Blue Cross San Diego GMC,26616,None,None
2007-04,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),2966,None,None
2007-04,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,70067,None,None
2007-04,Geographic Managed Care,San Diego ,Health Net/San Diego,15868,None,None
2007-04,Geographic Managed Care,San Diego ,Kaiser/San Diego,9695,None,None
2007-04,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,44046,None,None
2007-04,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,12259,None,None
2007-04,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,81,None,None
2007-04,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,931,None,None
2007-04,Prepaid Health Plan,Marin,Kaiser/Marin,611,None,None
2007-04,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,1512,None,None
2007-04,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,826,None,None
2007-04,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,1658,None,None
2007-04,SCAN,Los Angeles,SCAN Hlth Plan / LA,2260,None,None
2007-04,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,504,None,None
2007-04,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,612,None,None
2007-04,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,255,None,None
2007-04,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,268,None,None
2007-04,Special Project,Alameda,Cntr Elders Indep/Alameda,369,None,None
2007-04,Special Project,Contra Costa,Center for Elders Independence,20,None,None
2007-04,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,397,None,None
2007-04,Special Project,Sacramento,Sutter SeniorCare/Sac,179,None,None
2007-04,Special Project,San Francisco,Family Mosaic Prj / SF,133,None,None
2007-04,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2007-04,Two-Plan,Alameda,Alameda Alliance for Hlth,73091,None,None
2007-04,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,27334,None,None
2007-04,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,10246,None,None
2007-04,Two-Plan,Contra Costa,Contra Costa Hlth Plan,43816,None,None
2007-04,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,142975,None,None
2007-04,Two-Plan,Fresno,Health Net /Fresno,26688,None,None
2007-04,Two-Plan,Kern,Health Net/Kern,21750,None,None
2007-04,Two-Plan,Kern,Kern Hlth Systems,91736,None,None
2007-04,Two-Plan,Los Angeles,Health Net / LA,430482,None,None
2007-04,Two-Plan,Los Angeles,LA CARE,737281,None,None
2007-04,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,122443,None,None
2007-04,Two-Plan,Riverside,Molina Healthcare of California/Riverside,32908,None,None
2007-04,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,134146,None,None
2007-04,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,49483,None,None
2007-04,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,12028,None,None
2007-04,Two-Plan,San Francisco,San Francisco Hlth Plan,31717,None,None
2007-04,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,26880,None,None
2007-04,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,57009,None,None
2007-04,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,32484,None,None
2007-04,Two-Plan,Santa Clara,Santa Clara Family Hlth,73430,None,None
2007-04,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,44975,None,None
2007-04,Two-Plan,Stanislaus,Health Net/Stanislaus,13520,None,None
2007-04,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,71895,None,None
2007-04,Two-Plan,Tulare,Health Net/Tulare,15484,None,None
2007-05,COHS,Monterey,Central California Alliance for Health/Monterey,55106,None,None
2007-05,COHS,Napa,Partnership HP of CA/Napa,10865,None,None
2007-05,COHS,Orange,CalOPTIMA / Orange,295636,None,None
2007-05,COHS,San Mateo,Hlth Plan of San Mateo,50073,None,None
2007-05,COHS,Santa Barbara,Santa Barbara Hlth Authrty,54434,None,None
2007-05,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,31000,None,None
2007-05,COHS,Solano,Partnership HP of CA/Solano,52213,None,None
2007-05,COHS,Yolo,Partnership HealthPlan of CA/Yolo,23654,None,None
2007-05,Dental,Los Angeles,Access Dental Plan/LA,61428,None,None
2007-05,Dental,Los Angeles,American Health Guard - Dental/LA,17903,None,None
2007-05,Dental,Los Angeles,Care1st Health Plan Dental,16801,None,None
2007-05,Dental,Los Angeles,Community Dental Svcs Inc (LA),5353,None,None
2007-05,Dental,Los Angeles,Health Net of California,31434,None,None
2007-05,Dental,Los Angeles,Liberty Dental Plan of CA (LA),6045,None,None
2007-05,Dental,Los Angeles,Safeguard Dental Inc.,27487,None,None
2007-05,Dental,Los Angeles,Western Dental Svcs/LA,52955,None,None
2007-05,Dental,Riverside,Safeguard Dental Inc.,119,None,None
2007-05,Dental,Riverside,Western Dental Svcs (Riverside),245,None,None
2007-05,Dental,Sacramento,Access Dental Plan/Sacto,50933,None,None
2007-05,Dental,Sacramento,Community Dental Svcs./Sacto,13089,None,None
2007-05,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,25510,None,None
2007-05,Dental,Sacramento,Western Dental Svcs/Sacto,74227,None,None
2007-05,Dental,San Bernardino,Care1st Health Plan Dental,191,None,None
2007-05,Dental,San Bernardino,Safeguard Dental Inc.,733,None,None
2007-05,Dental,San Bernardino,Western Dental Svcs (San Bernardino),516,None,None
2007-05,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,82607,None,None
2007-05,Geographic Managed Care,Sacramento,Care 1st Healthplan,4551,None,None
2007-05,Geographic Managed Care,Sacramento,Health Net/Sac,27351,None,None
2007-05,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,20050,None,None
2007-05,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,15593,None,None
2007-05,Geographic Managed Care,San Diego ,Blue Cross San Diego GMC,26856,None,None
2007-05,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),3060,None,None
2007-05,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,70378,None,None
2007-05,Geographic Managed Care,San Diego ,Health Net/San Diego,16113,None,None
2007-05,Geographic Managed Care,San Diego ,Kaiser/San Diego,9736,None,None
2007-05,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,43618,None,None
2007-05,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,12244,None,None
