HPSA Discipline Class,HPSA Geography Identification Number,HPSA Component Type Description,HPSA Name,HPSA ID,County Equivalent Name,Designation Type,HPSA Population Type,HPSA Status,HPSA Score,HPSA Designation Date,HPSA Designation Last Update Date,Data Warehouse Record Create Date
Primary Care,06001433104,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001433700,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001433800,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001433900,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001434000,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001435400,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001435500,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001435601,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001435602,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001435700,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001436300,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06003010000,Census Tract,MSSA 3/Markleeville,1064812935,Alpine,Geographic HPSA,Geographic Population,Designated,10,5/20/2008,10/28/2017,1/8/2021
Primary Care,06005000101,Census Tract,MSSA 6/Pioneer,1061018308,Amador,Geographic HPSA,Geographic Population,Designated,16,7/11/2008,10/28/2017,1/8/2021
Primary Care,06005000102,Census Tract,MSSA 6/Pioneer,1061018308,Amador,Geographic HPSA,Geographic Population,Designated,16,7/11/2008,10/28/2017,1/8/2021
Primary Care,06005000301,Census Tract,LI/HMFW-MSSA 4- Ione-Jackson-Pine Grove-Sutter Creek,1068902654,Amador,HPSA Population,Low Income Homeless Migrant Farmworker Population HPSA,Designated,7,1/19/2017,1/19/2017,1/8/2021
Primary Care,06005000303,Census Tract,LI/HMFW-MSSA 4- Ione-Jackson-Pine Grove-Sutter Creek,1068902654,Amador,HPSA Population,Low Income Homeless Migrant Farmworker Population HPSA,Designated,7,1/19/2017,1/19/2017,1/8/2021
Primary Care,06005000304,Census Tract,LI/HMFW-MSSA 4- Ione-Jackson-Pine Grove-Sutter Creek,1068902654,Amador,HPSA Population,Low Income Homeless Migrant Farmworker Population HPSA,Designated,7,1/19/2017,1/19/2017,1/8/2021
Primary Care,06005000401,Census Tract,LI/HMFW-MSSA 4- Ione-Jackson-Pine Grove-Sutter Creek,1068902654,Amador,HPSA Population,Low Income Homeless Migrant Farmworker Population HPSA,Designated,7,1/19/2017,1/19/2017,1/8/2021
Primary Care,06005000402,Census Tract,LI/HMFW-MSSA 4- Ione-Jackson-Pine Grove-Sutter Creek,1068902654,Amador,HPSA Population,Low Income Homeless Migrant Farmworker Population HPSA,Designated,7,1/19/2017,1/19/2017,1/8/2021
Primary Care,06005000500,Census Tract,LI/HMFW-MSSA 4- Ione-Jackson-Pine Grove-Sutter Creek,1068902654,Amador,HPSA Population,Low Income Homeless Migrant Farmworker Population HPSA,Designated,7,1/19/2017,1/19/2017,1/8/2021
Primary Care,06007001702,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8,7/28/2017,7/28/2017,1/8/2021
Primary Care,06007001703,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8,7/28/2017,7/28/2017,1/8/2021
Primary Care,06007001704,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8,7/28/2017,7/28/2017,1/8/2021
Primary Care,06007001800,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8,7/28/2017,7/28/2017,1/8/2021
Primary Care,06007001900,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8,7/28/2017,7/28/2017,1/8/2021
Primary Care,06007002000,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8,7/28/2017,7/28/2017,1/8/2021
Primary Care,06007002100,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8,7/28/2017,7/28/2017,1/8/2021
Primary Care,06007002200,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8,7/28/2017,7/28/2017,1/8/2021
Primary Care,06007002300,Census Tract,MSSA 8-Magalia/Paradise/Stirling City,1062210541,Butte,Geographic HPSA,Geographic Population,Designated,8,7/28/2017,7/28/2017,1/8/2021
Primary Care,06007002500,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13,6/12/2006,5/12/2017,1/8/2021
Primary Care,06007002601,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13,6/12/2006,5/12/2017,1/8/2021
Primary Care,06007002602,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13,6/12/2006,5/12/2017,1/8/2021
Primary Care,06007002700,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13,6/12/2006,5/12/2017,1/8/2021
Primary Care,06007002800,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13,6/12/2006,5/12/2017,1/8/2021
Primary Care,06007002900,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13,6/12/2006,5/12/2017,1/8/2021
Primary Care,06007003001,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13,6/12/2006,5/12/2017,1/8/2021
Primary Care,06007003002,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13,6/12/2006,5/12/2017,1/8/2021
Primary Care,06007003100,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13,6/12/2006,5/12/2017,1/8/2021
Primary Care,06007003200,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13,6/12/2006,5/12/2017,1/8/2021
Primary Care,06007003300,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13,6/12/2006,5/12/2017,1/8/2021
Primary Care,06007003700,Census Tract,MSSA 10/Oroville,1063974127,Butte,High Needs Geographic HPSA,Geographic Population,Designated,13,6/12/2006,5/12/2017,1/8/2021
Primary Care,06007003400,Census Tract,MSSA 9-Biggs/East Biggs/Gridley,1065591045,Butte,Geographic HPSA,Geographic Population,Designated,9,2/2/2017,2/2/2017,1/8/2021
Primary Care,06007003501,Census Tract,MSSA 9-Biggs/East Biggs/Gridley,1065591045,Butte,Geographic HPSA,Geographic Population,Designated,9,2/2/2017,2/2/2017,1/8/2021
Primary Care,06007003502,Census Tract,MSSA 9-Biggs/East Biggs/Gridley,1065591045,Butte,Geographic HPSA,Geographic Population,Designated,9,2/2/2017,2/2/2017,1/8/2021
Primary Care,06007003600,Census Tract,MSSA 9-Biggs/East Biggs/Gridley,1065591045,Butte,Geographic HPSA,Geographic Population,Designated,9,2/2/2017,2/2/2017,1/8/2021
Primary Care,06007001600,Census Tract,MSSA 7.3/Butte Meadows/Forest Ranch,1065749241,Butte,Geographic HPSA,Geographic Population,Designated,11,1/23/2009,10/28/2017,1/8/2021
Primary Care,06007002400,Census Tract,MSSA 11/Berry Creek,1067111175,Butte,High Needs Geographic HPSA,Geographic Population,Designated,17,1/23/2012,8/25/2017,1/8/2021
Primary Care,06007001500,Census Tract,MSSA 7.4/Durham,1069639946,Butte,Geographic HPSA,Geographic Population,Designated,11,3/21/2014,10/28/2017,1/8/2021
Primary Care,06009000120,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8,10/14/2005,7/21/2017,1/8/2021
Primary Care,06009000121,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8,10/14/2005,7/21/2017,1/8/2021
Primary Care,06009000122,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8,10/14/2005,7/21/2017,1/8/2021
Primary Care,06009000210,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8,10/14/2005,7/21/2017,1/8/2021
Primary Care,06009000220,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8,10/14/2005,7/21/2017,1/8/2021
Primary Care,06009000300,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8,10/14/2005,7/21/2017,1/8/2021
Primary Care,06009000400,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8,10/14/2005,7/21/2017,1/8/2021
Primary Care,06009000501,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8,10/14/2005,7/21/2017,1/8/2021
Primary Care,06009000503,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8,10/14/2005,7/21/2017,1/8/2021
Primary Care,06009000504,Census Tract,MSSA 12/Calaveras County/Angels Camp,1062545418,Calaveras,Geographic HPSA,Geographic Population,Designated,8,10/14/2005,7/21/2017,1/8/2021
Primary Care,06011,Single County,Colusa County,1068364034,Colusa,Geographic HPSA,Geographic Population,Designated,11,4/17/2017,4/17/2017,1/8/2021
Primary Care,06015,Single County,MSSA 19/Del Norte County,1069379423,Del Norte,High Needs Geographic HPSA,Geographic Population,Designated,9,6/15/1990,7/26/2017,1/8/2021
Primary Care,06017030200,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14,7/12/2017,7/12/2017,1/8/2021
Primary Care,06017030301,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14,7/12/2017,7/12/2017,1/8/2021
Primary Care,06017030302,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14,7/12/2017,7/12/2017,1/8/2021
Primary Care,06017030401,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14,7/12/2017,7/12/2017,1/8/2021
Primary Care,06017030402,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14,7/12/2017,7/12/2017,1/8/2021
Primary Care,06017030502,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14,7/12/2017,7/12/2017,1/8/2021
Primary Care,06017030504,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14,7/12/2017,7/12/2017,1/8/2021
Primary Care,06017030505,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14,7/12/2017,7/12/2017,1/8/2021
Primary Care,06017031600,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14,7/12/2017,7/12/2017,1/8/2021
Primary Care,06017032000,Census Tract,MSSA 24/South Lake Tahoe,1061763627,El Dorado,Geographic HPSA,Geographic Population,Designated,14,7/12/2017,7/12/2017,1/8/2021
Primary Care,06017031301,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15,11/29/2017,11/29/2017,1/8/2021
Primary Care,06017031302,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15,11/29/2017,11/29/2017,1/8/2021
Primary Care,06017031402,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15,11/29/2017,11/29/2017,1/8/2021
Primary Care,06017031404,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15,11/29/2017,11/29/2017,1/8/2021
Primary Care,06017031405,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15,11/29/2017,11/29/2017,1/8/2021
Primary Care,06017031406,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15,11/29/2017,11/29/2017,1/8/2021
Primary Care,06017031900,Census Tract,MSSA 23.2-Camino/Pollock Pines,1061947947,El Dorado,Geographic HPSA,Geographic Population,Designated,15,11/29/2017,11/29/2017,1/8/2021
Primary Care,06017030602,Census Tract,MSSA 22/Georgetown N El Dorado,1065594606,El Dorado,Geographic HPSA,Geographic Population,Designated,12,5/30/1979,10/28/2017,1/8/2021
Primary Care,06017030603,Census Tract,MSSA 22/Georgetown N El Dorado,1065594606,El Dorado,Geographic HPSA,Geographic Population,Designated,12,5/30/1979,10/28/2017,1/8/2021
Primary Care,06019003803,Census Tract,MSSA 29/Herndon/Kerman,1061550948,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,14,2/14/2006,12/27/2017,1/8/2021
Primary Care,06019003900,Census Tract,MSSA 29/Herndon/Kerman,1061550948,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,14,2/14/2006,12/27/2017,1/8/2021
Primary Care,06019004001,Census Tract,MSSA 29/Herndon/Kerman,1061550948,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,14,2/14/2006,12/27/2017,1/8/2021
Primary Care,06019004002,Census Tract,MSSA 29/Herndon/Kerman,1061550948,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,14,2/14/2006,12/27/2017,1/8/2021
Primary Care,06019004100,Census Tract,MSSA 29/Herndon/Kerman,1061550948,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,14,2/14/2006,12/27/2017,1/8/2021
Primary Care,06019004207,Census Tract,MSSA 29/Herndon/Kerman,1061550948,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,14,2/14/2006,12/27/2017,1/8/2021
Primary Care,06019000800,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019000901,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019000902,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019001000,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019001100,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019001700,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019001800,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019001900,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019007002,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019007003,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019007004,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019007100,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019007201,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019007202,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019007300,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019007400,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019007500,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019007600,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019007700,Census Tract,MSSA 30/Kingsburg/Selma,1062231369,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,12,4/19/2016,9/1/2017,1/8/2021
Primary Care,06019007801,Census Tract,MSSAs 27 & 28/Coalinga/Huron,1062436640,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,16,2/3/2006,10/27/2017,1/8/2021
Primary Care,06019007802,Census Tract,MSSAs 27 & 28/Coalinga/Huron,1062436640,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,16,2/3/2006,10/27/2017,1/8/2021
Primary Care,06019007901,Census Tract,MSSAs 27 & 28/Coalinga/Huron,1062436640,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,16,2/3/2006,10/27/2017,1/8/2021
Primary Care,06019007902,Census Tract,MSSAs 27 & 28/Coalinga/Huron,1062436640,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,16,2/3/2006,10/27/2017,1/8/2021
Primary Care,06019008000,Census Tract,MSSAs 27 & 28/Coalinga/Huron,1062436640,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,16,2/3/2006,10/27/2017,1/8/2021
Primary Care,06019008100,Census Tract,MSSAs 27 & 28/Coalinga/Huron,1062436640,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,16,2/3/2006,10/27/2017,1/8/2021
Primary Care,06019001409,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019001410,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019001411,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019001412,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019001413,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019001414,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019003102,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019003103,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019003104,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019005407,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019005602,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019005605,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019005606,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019005701,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019005702,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019005703,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019005704,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019005801,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019005802,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019005804,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019005805,Census Tract,MSSA 35b-Clovis West-Fresno East,1064737800,Fresno,Geographic HPSA,Geographic Population,Designated,12,9/12/2016,10/28/2017,1/8/2021
Primary Care,06019008301,Census Tract,MSSA 25/Firebaugh,1064972530,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,20,10/27/2017,10/27/2017,1/8/2021
Primary Care,06019008302,Census Tract,MSSA 25/Firebaugh,1064972530,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,20,10/27/2017,10/27/2017,1/8/2021
Primary Care,06019008401,Census Tract,MSSA 25/Firebaugh,1064972530,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,20,10/27/2017,10/27/2017,1/8/2021
Primary Care,06019008402,Census Tract,MSSA 25/Firebaugh,1064972530,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,20,10/27/2017,10/27/2017,1/8/2021
Primary Care,06019008200,Census Tract,MSSA 26/San Joaquin,1067422699,Fresno,High Needs Geographic HPSA,Geographic Population,Designated,18,4/26/2017,4/26/2017,1/8/2021
